taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
7517;2016-12-09T18:45;840;0.0;9.25;0.0;készpénz
279;2016-12-09T20:00;300;0.0;5.25;2.0;bankkártya
1563;2016-12-09T20:45;780;0.0;12.75;0.0;készpénz
710;2016-12-09T21:45;540;0.0;10.25;0.0;készpénz
7066;2016-12-09T23:30;900;0.0;14.25;0.0;készpénz
1322;2016-12-10T01:45;540;0.0;7.75;0.0;készpénz
7541;2016-12-10T11:30;300;0.0;5.5;0.0;készpénz
3612;2016-12-10T12:45;420;0.0;6.5;0.0;készpénz
4106;2016-12-10T16:45;660;0.0;7.5;2.0;bankkártya
1463;2016-12-10T18:15;300;0.0;5.25;0.0;készpénz
7415;2016-12-10T18:45;780;0.0;10.0;0.0;készpénz
3514;2016-12-10T20:45;240;0.0;4.75;0.0;készpénz
973;2016-12-10T23:00;60;0.0;3.5;0.0;készpénz
5812;2016-12-10T23:00;480;0.0;6.75;0.0;készpénz
2421;2016-12-11T00:15;60;0.0;3.75;0.0;készpénz
7528;2016-12-11T00:30;660;0.0;10.25;0.0;készpénz
625;2016-12-11T05:00;1500;0.0;45.25;13.55;bankkártya
5472;2016-12-11T17:45;360;0.0;6.75;1.0;bankkártya
7210;2016-12-12T14:45;540;0.0;7.5;2.0;bankkártya
376;2016-12-12T19:00;480;0.0;6.25;0.0;készpénz
686;2016-12-12T23:30;360;0.0;6.25;0.0;készpénz
6317;2016-12-13T10:45;300;0.0;5.0;0.0;készpénz
8648;2016-12-13T11:15;1020;0.0;11.0;1.0;bankkártya
505;2016-12-13T11:30;420;0.0;6.75;0.0;készpénz
2877;2016-12-13T12:00;600;0.0;8.0;0.0;készpénz
1152;2016-12-13T14:15;540;0.0;6.75;0.0;készpénz
7210;2016-12-13T14:30;720;0.0;8.0;0.0;készpénz
6407;2016-12-13T14:30;480;0.0;7.25;2.0;bankkártya
5367;2016-12-13T15:45;1080;0.0;14.75;0.0;készpénz
4107;2016-12-13T16:00;180;0.0;5.0;0.0;készpénz
2888;2016-12-13T17:15;1620;0.0;16.25;0.0;készpénz
4770;2016-12-13T17:45;600;0.0;11.25;0.0;készpénz
8546;2016-12-13T18:00;540;0.0;6.25;0.0;készpénz
5114;2016-12-13T18:15;5100;0.0;48.75;6.0;bankkártya
4359;2016-12-13T19:00;780;0.0;7.5;0.0;készpénz
3862;2016-12-13T19:00;420;0.0;6.25;0.0;készpénz
2175;2016-12-13T19:15;840;0.0;8.75;0.0;készpénz
4870;2016-12-13T20:15;120;0.0;3.75;0.0;készpénz
7355;2016-12-13T21:45;300;0.0;5.75;0.0;készpénz
1383;2016-12-14T03:00;180;0.0;4.75;0.0;készpénz
3040;2016-12-14T09:15;900;0.0;13.0;2.0;bankkártya
6317;2016-12-14T09:45;420;0.0;6.75;2.0;bankkártya
2041;2016-12-14T12:45;420;0.0;6.5;1.0;bankkártya
760;2016-12-14T13:45;60;0.0;4.0;0.0;készpénz
